bubble,,,,,,
comparisons,99980001,99980001,99980001,99980001,99980001,
swaps,24948980,24887536,24756835,24740231,24928645,
selection,,,,,,
comparisons,1249975000,1249975000,1249975000,1249975000,1249975000,
swaps,1249975000,1249975000,1249975000,1249975000,1249975000,
insertion,,,,,,
comparisons,625052364,624493704,621821318,623339684,623494157,
swaps,625002377,624443712,621771335,623289698,623444161,
mergesort,,,,,,
comparisons,2220630,2220600,2220678,2220980,2221400,
swaps,1568928,1568928,1568928,1568928,1568928,
quicksort,,,,,,
comparisons,563058,501040,493376,501932,524372,
swaps,563058,501040,493376,501932,524372,
